Date,Time,CO(GT),T
2004-03-10 18:00:00,18:00:00,2.6,13.599999904633
2004-03-10 19:00:00,19:00:00,2.0,13.299999952316
2004-03-10 20:00:00,20:00:00,2.2,11.900000095367
2004-03-10 21:00:00,21:00:00,2.2,11.0
2004-03-10 22:00:00,22:00:00,1.6,11.150000095367
2004-03-10 23:00:00,23:00:00,1.2,11.175000190735
2004-03-11 00:00:00,00:00:00,1.2,11.324999809265
2004-03-11 01:00:00,01:00:00,1.0,10.674999952316
2004-03-11 02:00:00,02:00:00,0.9,10.650000095367
2004-03-11 03:00:00,03:00:00,0.6,10.250000238419
2004-03-11 04:00:00,04:00:00,-200.0,10.075000047684
2004-03-11 05:00:00,05:00:00,0.7,10.999999761581
2004-03-11 06:00:00,06:00:00,0.7,10.450000047684
2004-03-11 07:00:00,07:00:00,1.1,10.200000047684
2004-03-11 08:00:00,08:00:00,2.0,10.75
2004-03-11 09:00:00,09:00:00,2.2,10.5
2004-03-11 10:00:00,10:00:00,1.7,10.799999952316
2004-03-11 11:00:00,11:00:00,1.5,10.499999761581
2004-03-11 12:00:00,12:00:00,1.6,9.5249998569489
2004-03-11 13:00:00,13:00:00,1.9,8.299999833107
2004-03-11 14:00:00,14:00:00,2.9,8.0
2004-03-11 15:00:00,15:00:00,2.2,8.325000166893
2004-03-11 16:00:00,16:00:00,2.2,9.7000000476837
2004-03-11 17:00:00,17:00:00,2.9,9.7750000953674
2004-03-11 18:00:00,18:00:00,4.8,10.349999904633
2004-03-11 19:00:00,19:00:00,6.9,9.6500000953674
2004-03-11 20:00:00,20:00:00,6.1,9.6499998569489
2004-03-11 21:00:00,21:00:00,3.9,9.125
2004-03-11 22:00:00,22:00:00,1.5,8.1750001907349
2004-03-11 23:00:00,23:00:00,1.0,8.2499998807907
2004-03-12 00:00:00,00:00:00,1.7,8.3250002861023
2004-03-12 01:00:00,01:00:00,1.9,7.7250001430511
2004-03-12 02:00:00,02:00:00,1.4,7.125
2004-03-12 03:00:00,03:00:00,0.8,6.9750000238419
2004-03-12 04:00:00,04:00:00,-200.0,6.1000000238419
2004-03-12 05:00:00,05:00:00,0.6,6.2749999761581
2004-03-12 06:00:00,06:00:00,0.8,6.75
2004-03-12 07:00:00,07:00:00,1.4,6.4499999284744
2004-03-12 08:00:00,08:00:00,4.4,7.3250000476837
2004-03-12 09:00:00,09:00:00,-200.0,9.2250000238419
2004-03-12 10:00:00,10:00:00,3.1,13.224999904633
2004-03-12 11:00:00,11:00:00,2.7,14.325000047684
2004-03-12 12:00:00,12:00:00,2.1,15.025000095367
2004-03-12 13:00:00,13:00:00,2.5,16.100000143051
2004-03-12 14:00:00,14:00:00,2.7,16.275000572205
2004-03-12 15:00:00,15:00:00,2.9,15.825000047684
2004-03-12 16:00:00,16:00:00,2.8,15.874999761581
2004-03-12 17:00:00,17:00:00,2.4,16.875000238419
2004-03-12 18:00:00,18:00:00,3.9,15.149999856949
2004-03-12 19:00:00,19:00:00,3.7,14.399999856949
2004-03-12 20:00:00,20:00:00,6.6,12.875
2004-03-12 21:00:00,21:00:00,4.4,12.149999856949
2004-03-12 22:00:00,22:00:00,3.5,10.975000143051
2004-03-12 23:00:00,23:00:00,5.4,9.6749999523163
2004-03-13 00:00:00,00:00:00,2.7,9.4500002861023
2004-03-13 01:00:00,01:00:00,1.9,9.1499998569489
2004-03-13 02:00:00,02:00:00,1.6,8.7999999523163
2004-03-13 03:00:00,03:00:00,1.7,7.8000000715256
2004-03-13 04:00:00,04:00:00,-200.0,7.0
2004-03-13 05:00:00,05:00:00,1.0,8.2999999523163
2004-03-13 06:00:00,06:00:00,1.2,7.2000000476837
2004-03-13 07:00:00,07:00:00,1.5,6.3499999046326
2004-03-13 08:00:00,08:00:00,2.7,6.450000166893
2004-03-13 09:00:00,09:00:00,3.7,9.5666666030884
2004-03-13 10:00:00,10:00:00,3.2,12.375
2004-03-13 11:00:00,11:00:00,4.1,15.649999856949
2004-03-13 12:00:00,12:00:00,3.6,18.400000095367
2004-03-13 13:00:00,13:00:00,2.8,19.35000038147
2004-03-13 14:00:00,14:00:00,2.0,18.02499961853
2004-03-13 15:00:00,15:00:00,2.0,18.375
2004-03-13 16:00:00,16:00:00,2.5,17.625
2004-03-13 17:00:00,17:00:00,2.3,16.675000190735
2004-03-13 18:00:00,18:00:00,3.2,16.099999904633
2004-03-13 19:00:00,19:00:00,4.2,15.825000047684
2004-03-13 20:00:00,20:00:00,4.2,15.650000095367
2004-03-13 21:00:00,21:00:00,4.2,15.325000047684
2004-03-13 22:00:00,22:00:00,3.1,14.649999856949
2004-03-13 23:00:00,23:00:00,2.6,14.700000286102
2004-03-14 00:00:00,00:00:00,2.9,13.949999809265
2004-03-14 01:00:00,01:00:00,2.8,14.649999856949
2004-03-14 02:00:00,02:00:00,2.5,12.549999952316
2004-03-14 03:00:00,03:00:00,2.4,11.649999856949
2004-03-14 04:00:00,04:00:00,-200.0,12.099999904633
2004-03-14 05:00:00,05:00:00,1.2,11.475000143051
2004-03-14 06:00:00,06:00:00,1.0,11.599999904633
2004-03-14 07:00:00,07:00:00,0.9,10.399999856949
2004-03-14 08:00:00,08:00:00,1.4,11.574999809265
2004-03-14 09:00:00,09:00:00,1.6,12.424999952316
2004-03-14 10:00:00,10:00:00,2.2,14.525000095367
2004-03-14 11:00:00,11:00:00,2.8,16.875000476837
2004-03-14 12:00:00,12:00:00,2.8,19.300000190735
2004-03-14 13:00:00,13:00:00,2.0,21.174999713898
2004-03-14 14:00:00,14:00:00,1.8,21.424999713898
2004-03-14 15:00:00,15:00:00,1.9,21.925000190735
2004-03-14 16:00:00,16:00:00,3.0,22.224999904633
2004-03-14 17:00:00,17:00:00,2.9,21.299999713898
2004-03-14 18:00:00,18:00:00,2.5,19.650000095367
2004-03-14 19:00:00,19:00:00,4.6,18.374999523163
2004-03-14 20:00:00,20:00:00,5.9,17.625
2004-03-14 21:00:00,21:00:00,3.4,16.650000095367
2004-03-14 22:00:00,22:00:00,2.1,16.25
2004-03-14 23:00:00,23:00:00,2.2,14.725000143051
2004-03-15 00:00:00,00:00:00,1.8,14.825000047684
2004-03-15 01:00:00,01:00:00,1.8,14.049999952316
2004-03-15 02:00:00,02:00:00,1.8,13.350000143051
2004-03-15 03:00:00,03:00:00,1.1,12.599999904633
2004-03-15 04:00:00,04:00:00,-200.0,12.349999904633
2004-03-15 05:00:00,05:00:00,1.0,11.899999856949
2004-03-15 06:00:00,06:00:00,1.4,11.375
2004-03-15 07:00:00,07:00:00,2.2,11.324999809265
2004-03-15 08:00:00,08:00:00,5.5,12.400000095367
2004-03-15 09:00:00,09:00:00,8.1,14.774999856949
2004-03-15 10:00:00,10:00:00,5.8,17.400000095367
2004-03-15 11:00:00,11:00:00,4.2,19.800000190735
2004-03-15 12:00:00,12:00:00,3.1,22.025000095367
2004-03-15 13:00:00,13:00:00,2.9,23.324999809265
2004-03-15 14:00:00,14:00:00,2.9,23.875
2004-03-15 15:00:00,15:00:00,2.5,24.449999809265
2004-03-15 16:00:00,16:00:00,2.3,24.375
2004-03-15 17:00:00,17:00:00,2.8,23.849999904633
2004-03-15 18:00:00,18:00:00,6.1,22.549999237061
2004-03-15 19:00:00,19:00:00,8.0,20.425000667572
2004-03-15 20:00:00,20:00:00,6.5,18.275000095367
2004-03-15 21:00:00,21:00:00,4.2,16.650000095367
2004-03-15 22:00:00,22:00:00,3.2,15.699999809265
2004-03-15 23:00:00,23:00:00,1.4,15.250000238419
2004-03-16 00:00:00,00:00:00,2.1,14.066666603088
2004-03-16 01:00:00,01:00:00,1.2,14.825000047684
2004-03-16 02:00:00,02:00:00,0.8,14.75
2004-03-16 03:00:00,03:00:00,0.7,13.624999761581
2004-03-16 04:00:00,04:00:00,-200.0,12.324999809265
2004-03-16 05:00:00,05:00:00,0.6,12.75
2004-03-16 06:00:00,06:00:00,0.9,11.174999952316
2004-03-16 07:00:00,07:00:00,1.3,10.975000143051
2004-03-16 08:00:00,08:00:00,3.4,11.674999952316
2004-03-16 09:00:00,09:00:00,3.7,13.625
2004-03-16 10:00:00,10:00:00,5.3,17.824999332428
2004-03-16 11:00:00,11:00:00,4.1,21.449999809265
2004-03-16 12:00:00,12:00:00,3.3,24.375
2004-03-16 13:00:00,13:00:00,4.0,25.250000476837
2004-03-16 14:00:00,14:00:00,3.8,25.825000286102
2004-03-16 15:00:00,15:00:00,2.8,27.0
2004-03-16 16:00:00,16:00:00,2.9,28.249999523163
2004-03-16 17:00:00,17:00:00,2.9,27.974999904633
2004-03-16 18:00:00,18:00:00,3.4,23.900000095367
